Site,Date,Comment
Tylstrup,24-06-2016,BBCH stage 54
Jyndevad,22-03-2011,Ploughed. Depth 24 cm
Jyndevad,23-03-2011,BBCH stage 0
Jyndevad,23-03-2011,Sowing spring barley cv. Quench, depth 4.0 cm, row distance 12 cm, seed rate 164 kg ha-1, final plant number 301 m-2 - using a combine drill
Jyndevad,24-03-2011,Rolled with a concrete roller
Jyndevad,30-03-2011,Fertilization 133.1 N, 18.5 P, 61.6 K, kg ha-1
Jyndevad,05-04-2011,BBCH stage 9
Jyndevad,08-04-2011,BBCH stage 10
Jyndevad,20-04-2011,BBCH stage 13
Jyndevad,26-04-2011,BBCH stage 21-22
Jyndevad,26-04-2011,Oxitril CM (bromoxynil + ioxynil) - 0.5 L ha-1 (not analysed)
Jyndevad,26-04-2011,DFF (diflufenican) - 0.25 L ha-1 - weeds
Jyndevad,02-05-2011,BBCH stage 26
Jyndevad,02-05-2011,Irrigation - 30 mm ha-1. Started 02/05. Ended 03/05
Jyndevad,03-05-2011,Biomass 92.8 g m-2 - 100% DM
Jyndevad,04-05-2011,BBCH stage 26
Jyndevad,04-05-2011,Microcare/Mantrac - 1.0 L ha-1 - manganese 0.368 kg ha-1 + N 0.035 kg ha-1
Jyndevad,18-05-2011,BBCH stage 37
Jyndevad,23-05-2011,BBCH stage 40
Jyndevad,23-05-2011,Irrigation - 32 mm ha-1. Started 23/05. Ended 24/05
Jyndevad,26-05-2011,BBCH stage 50
Jyndevad,26-05-2011,Biomass 402.0 g m-2 - 100% DM
Jyndevad,01-06-2011,BBCH stage 59
Jyndevad,30-06-2011,BBCH stage 75
Jyndevad,30-06-2011,Biomass 672.6 g m-2 - 100% DM
Jyndevad,04-07-2011,BBCH stage 76
Jyndevad,04-07-2011,Irrigation - 30 mm ha-1. Started 04/07. Ended 05/07
Jyndevad,20-07-2011,BBCH stage 82
Jyndevad,01-08-2011,BBCH stage 90
Jyndevad,23-08-2011,Harvest of spring barley. Seed yield 72.4 hkg ha-1 - 85% DM, stubble height 15 cm
Jyndevad,25-08-2011,Remowal of straw, straw yield 30.2 hkg ha-1 - 100% DM
Jyndevad,30-03-2012,Ploughed. Depth 22 cm
Jyndevad,02-04-2012,Rolled with concrete roller
Jyndevad,30-04-2012,Fertilization 120 K, kg ha-1
Jyndevad,30-04-2012,Fertilization 140 N, 17.7 P, 65.3 K, kg ha-1
Jyndevad,03-05-2012,Sowing maize - cultivare Atrium - seed distance 12 cm, row distance 75 cm, depth 6 cm. Seedrate 111,000 seeds ha-1, final plant number 12.8 m-2
